Visitor,Home,Winner
Brooklyn Nets,Milwaukee Bucks,Milwaukee Bucks
Golden State Warriors,Los Angeles Lakers,Golden State Warriors
Indiana Pacers,Charlotte Hornets,Charlotte Hornets
Chicago Bulls,Detroit Pistons,Chicago Bulls
Boston Celtics,New York Knicks,New York Knicks
Washington Wizards,Toronto Raptors,Washington Wizards
Cleveland Cavaliers,Memphis Grizzlies,Memphis Grizzlies
Houston Rockets,Minnesota Timberwolves,Minnesota Timberwolves
Philadelphia 76ers,New Orleans Pelicans,Philadelphia 76ers
Orlando Magic,San Antonio Spurs,San Antonio Spurs
Oklahoma City Thunder,Utah Jazz,Utah Jazz
Sacramento Kings,Portland Trail Blazers,Sacramento Kings
Denver Nuggets,Phoenix Suns,Denver Nuggets
Dallas Mavericks,Atlanta Hawks,Atlanta Hawks
Milwaukee Bucks,Miami Heat,Miami Heat
Los Angeles Clippers,Golden State Warriors,Golden State Warriors
New York Knicks,Orlando Magic,New York Knicks
Indiana Pacers,Washington Wizards,Washington Wizards
Charlotte Hornets,Cleveland Cavaliers,Charlotte Hornets
Toronto Raptors,Boston Celtics,Toronto Raptors
Brooklyn Nets,Philadelphia 76ers,Brooklyn Nets
Oklahoma City Thunder,Houston Rockets,Houston Rockets
New Orleans Pelicans,Chicago Bulls,Chicago Bulls
San Antonio Spurs,Denver Nuggets,Denver Nuggets
Phoenix Suns,Los Angeles Lakers,Phoenix Suns
Utah Jazz,Sacramento Kings,Utah Jazz
Atlanta Hawks,Cleveland Cavaliers,Cleveland Cavaliers
Miami Heat,Indiana Pacers,Indiana Pacers
Dallas Mavericks,Toronto Raptors,Dallas Mavericks
Detroit Pistons,Chicago Bulls,Chicago Bulls
New Orleans Pelicans,Minnesota Timberwolves,Minnesota Timberwolves
Milwaukee Bucks,San Antonio Spurs,Milwaukee Bucks
Phoenix Suns,Portland Trail Blazers,Portland Trail Blazers
Memphis Grizzlies,Los Angeles Clippers,Memphis Grizzlies
Charlotte Hornets,Brooklyn Nets,Charlotte Hornets
Boston Celtics,Houston Rockets,Boston Celtics
Orlando Magic,New York Knicks,Orlando Magic
Philadelphia 76ers,Oklahoma City Thunder,Philadelphia 76ers
Golden State Warriors,Sacramento Kings,Golden State Warriors
Memphis Grizzlies,Los Angeles Lakers,Los Angeles Lakers
Boston Celtics,Charlotte Hornets,Boston Celtics
Milwaukee Bucks,Indiana Pacers,Milwaukee Bucks
Chicago Bulls,Toronto Raptors,Chicago Bulls
Orlando Magic,Miami Heat,Miami Heat
Washington Wizards,Brooklyn Nets,Brooklyn Nets
Detroit Pistons,Atlanta Hawks,Atlanta Hawks
New Orleans Pelicans,Minnesota Timberwolves,New Orleans Pelicans
Cleveland Cavaliers,Denver Nuggets,Cleveland Cavaliers
Portland Trail Blazers,Los Angeles Clippers,Los Angeles Clippers
Philadelphia 76ers,New York Knicks,New York Knicks
Golden State Warriors,Oklahoma City Thunder,Golden State Warriors
Los Angeles Lakers,San Antonio Spurs,Los Angeles Lakers
Houston Rockets,Dallas Mavericks,Dallas Mavericks
Denver Nuggets,Utah Jazz,Utah Jazz
Charlotte Hornets,Orlando Magic,Charlotte Hornets
Washington Wizards,Boston Celtics,Washington Wizards
Miami Heat,Brooklyn Nets,Miami Heat
Indiana Pacers,Toronto Raptors,Toronto Raptors
Atlanta Hawks,New Orleans Pelicans,Atlanta Hawks
Minnesota Timberwolves,Milwaukee Bucks,Minnesota Timberwolves
Los Angeles Lakers,Oklahoma City Thunder,Oklahoma City Thunder
Sacramento Kings,Phoenix Suns,Sacramento Kings
Memphis Grizzlies,Portland Trail Blazers,Portland Trail Blazers
Cleveland Cavaliers,Los Angeles Clippers,Cleveland Cavaliers
Atlanta Hawks,Washington Wizards,Washington Wizards
Detroit Pistons,Philadelphia 76ers,Philadelphia 76ers
Utah Jazz,Houston Rockets,Utah Jazz
New York Knicks,Chicago Bulls,New York Knicks
San Antonio Spurs,Dallas Mavericks,Dallas Mavericks
Memphis Grizzlies,Golden State Warriors,Memphis Grizzlies
Orlando Magic,Toronto Raptors,Toronto Raptors
Charlotte Hornets,Miami Heat,Miami Heat
Indiana Pacers,Brooklyn Nets,Brooklyn Nets
Sacramento Kings,New Orleans Pelicans,Sacramento Kings
Dallas Mavericks,Denver Nuggets,Denver Nuggets
Los Angeles Clippers,Portland Trail Blazers,Portland Trail Blazers
Cleveland Cavaliers,Los Angeles Lakers,Los Angeles Lakers
Boston Celtics,Washington Wizards,Washington Wizards
Orlando Magic,Detroit Pistons,Detroit Pistons
New York Knicks,New Orleans Pelicans,New York Knicks
Toronto Raptors,Indiana Pacers,Toronto Raptors
Atlanta Hawks,Philadelphia 76ers,Philadelphia 76ers
Utah Jazz,Chicago Bulls,Chicago Bulls
Miami Heat,Memphis Grizzlies,Miami Heat
San Antonio Spurs,Milwaukee Bucks,San Antonio Spurs
Oklahoma City Thunder,Golden State Warriors,Golden State Warriors
Denver Nuggets,Minnesota Timberwolves,Denver Nuggets
Cleveland Cavaliers,Phoenix Suns,Phoenix Suns
Sacramento Kings,Dallas Mavericks,Dallas Mavericks
Portland Trail Blazers,Charlotte Hornets,Charlotte Hornets
Utah Jazz,Milwaukee Bucks,Utah Jazz
Detroit Pistons,Brooklyn Nets,Brooklyn Nets
Houston Rockets,Los Angeles Lakers,Los Angeles Lakers
Cleveland Cavaliers,Charlotte Hornets,Cleveland Cavaliers
San Antonio Spurs,Indiana Pacers,Indiana Pacers
Portland Trail Blazers,Philadelphia 76ers,Philadelphia 76ers
Washington Wizards,Atlanta Hawks,Atlanta Hawks
Chicago Bulls,Boston Celtics,Chicago Bulls
Toronto Raptors,New York Knicks,Toronto Raptors
Denver Nuggets,Memphis Grizzlies,Memphis Grizzlies
Orlando Magic,Minnesota Timberwolves,Orlando Magic
Oklahoma City Thunder,Los Angeles Clippers,Los Angeles Clippers
Milwaukee Bucks,Detroit Pistons,Milwaukee Bucks
Miami Heat,Dallas Mavericks,Miami Heat
